number,brand,name,woody,balsamic,powdery,warm spicy,citrus,rose,fruity,fresh spicy,sweet,amber,floral,aromatic,ozonic,green,musky,aquatic,yellow floral,cacao,fresh,white floral,vanilla,herbal,aldehydic,tropical,leather,salty,coca-cola,gourmand,honey,sour,marine,earthy,patchouli,terpenic,animalic,smoky,soapy,tuberose,soft spicy,tobacco,coffee,narcotic,oud,conifer,caramel,coconut,cherry,cinnamon,nutty,bitter,almond,savory,love,like,dislike,winter,spring,summer,autumn,day,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A Lab on Fire,My Own Private Teahupo'o A Lab on Fire for women and men,0,0,0,0,0,0,64,0,0,121,0,0,0,0,0,0,0,0,0,109,130,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,66,66,66,100,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A Lab on Fire,Oxymusc A Lab on Fire for women and men,0,0,0,0,0,0,0,83,0,0,130,109,0,0,71,0,0,0,0,0,71,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,40,40,20,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A Lab on Fire,Paris*L.A. A Lab on Fire for women and men,0,0,0,0,99,0,0,98,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,45,32,29,18,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A Lab on Fire,Rose Rebelle A Lab on Fire for women,0,0,0,78,0,121,0,0,52,0,12,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,88,100,55,22,22,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A Lab on Fire,Rose Rebelle Respawn A Lab on Fire for women,0,0,0,130,0,86,0,0,0,0,73,0,0,120,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,52,76,35,29,23,47,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A Lab on Fire,Sweet Dreams 2003 A Lab on Fire for women and men,0,0,0,0,113,0,0,42,0,0,0,35,0,0,47,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,23,6,63,46,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A Lab on Fire,What We Do In Paris Is Secret A Lab on Fire for women and men,0,130,124,0,0,0,0,0,106,0,89,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,23,37,19,12,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A Lab on Fire,Mon Musc a Moi A Lab on Fire for women and men,0,0,0,0,0,85,0,0,130,0,119,0,0,0,90,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,42,64,50,50,57,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A Lab on Fire,One Night In Rio A Lab on Fire for women,0,0,0,0,0,0,124,100,102,0,94,0,0,0,0,0,0,0,0,130,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,100,42,1,57,42,14,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A Perfume Organic,Green A Perfume Organic for women and men,130,0,0,80,0,66,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,20,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A Perfume Organic,Mejica A Perfume Organic for women and men,0,130,36,120,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37,37,62,37,50,75,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A Bathing Ape,A Bathing Ape A Bathing Ape for women and men,130,91,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,25,100,25,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A Dozen Roses,Amber Queen A Dozen Roses for women,0,0,0,0,130,122,106,70,64,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,100,23,14,35,29,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A Dozen Roses,Angel Face A Dozen Roses for women,114,0,0,0,0,99,89,0,0,0,130,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,29,22,38,51,54,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A Dozen Roses,Electron A Dozen Roses for women,0,0,0,0,0,93,0,0,0,0,0,0,130,125,73,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,80,100,33,80,86,33,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A Dozen Roses,Gold Rush A Dozen Roses for women,105,0,0,67,0,78,0,0,130,0,0,0,0,0,0,0,74,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,23,60,46,43,70,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A Dozen Roses,Iced White A Dozen Roses for women,0,0,0,0,0,76,33,0,0,0,130,0,0,0,50,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,69,46,69,53,53,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A Bathing Ape,A Bathing Ape A Bathing Ape for women and men,130,91,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,25,100,25,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,A Dozen Roses,Amber Queen A Dozen Roses for women,0,0,0,0,130,122,106,70,64,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,100,23,14,35,29,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A Dozen Roses,Angel Face A Dozen Roses for women,114,0,0,0,0,99,89,0,0,0,130,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,29,22,38,51,54,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A Dozen Roses,Electron A Dozen Roses for women,0,0,0,0,0,93,0,0,0,0,0,0,130,125,73,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,80,100,33,80,86,33,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A Dozen Roses,Gold Rush A Dozen Roses for women,105,0,0,67,0,78,0,0,130,0,0,0,0,0,0,0,74,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,23,60,46,43,70,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A Dozen Roses,Iced White A Dozen Roses for women,0,0,0,0,0,76,33,0,0,0,130,0,0,0,50,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,69,46,69,53,53,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A Dozen Roses,Shakespeare in Love A Dozen Roses for women,62,0,0,0,0,109,60,0,55,0,0,0,0,0,0,0,0,0,0,130,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,100,61,34,50,42,38,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A La Russe,Rouge A La Russe for women,0,52,39,0,0,0,0,49,0,65,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A Lab on Fire,Almost Transparent Blue A Lab on Fire for women and men,90,0,0,0,130,0,0,81,0,0,0,79,0,0,0,0,0,0,0,0,0,57,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,75,18,30,84,96,36,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A Lab on Fire,Eau d`Ipanema A Lab on Fire for women and men,0,0,0,0,63,0,106,0,130,0,0,0,0,0,0,0,0,0,0,64,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,100,33,1,66,88,11,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A Lab on Fire,L'Anonyme ou OP-1475-A A Lab on Fire for women and men,78,0,0,0,75,0,0,130,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,25,20,66,43,41,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A Lab on Fire,Liquidnight A Lab on Fire for women and men,76,78,0,0,69,0,0,86,0,0,0,130,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,30,38,28,23,52,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A Lab on Fire,Messy Sexy Just Rolled out of Bed A Lab on Fire for women and men,0,89,88,0,0,0,0,0,127,0,115,81,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,10,40,30,20,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A Lab on Fire,My Own Private Teahupo'o A Lab on Fire for women and men,0,0,0,0,0,0,64,0,0,121,0,0,0,0,0,0,0,0,0,109,130,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,66,66,66,100,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A Lab on Fire,Oxymusc A Lab on Fire for women and men,0,0,0,0,0,0,0,83,0,0,130,109,0,0,71,0,0,0,0,0,71,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,40,40,20,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A Lab on Fire,Paris*L.A. A Lab on Fire for women and men,0,0,0,0,99,0,0,98,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,45,32,29,18,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A Lab on Fire,Rose Rebelle A Lab on Fire for women,0,0,0,78,0,121,0,0,52,0,12,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,88,100,55,22,22,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A Lab on Fire,Rose Rebelle Respawn A Lab on Fire for women,0,0,0,130,0,86,0,0,0,0,73,0,0,120,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,52,76,35,29,23,47,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A Lab on Fire,Sweet Dreams 2003 A Lab on Fire for women and men,0,0,0,0,113,0,0,42,0,0,0,35,0,0,47,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,23,6,63,46,20,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A Lab on Fire,What We Do In Paris Is Secret A Lab on Fire for women and men,0,130,124,0,0,0,0,0,106,0,89,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,23,37,19,12,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A Lab on Fire,Mon Musc a Moi A Lab on Fire for women and men,0,0,0,0,0,85,0,0,130,0,119,0,0,0,90,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,42,64,50,50,57,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A Lab on Fire,One Night In Rio A Lab on Fire for women,0,0,0,0,0,0,124,100,102,0,94,0,0,0,0,0,0,0,0,130,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,100,42,1,57,42,14,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A Perfume Organic,Green A Perfume Organic for women and men,130,0,0,80,0,66,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,20,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A Perfume Organic,Mejica A Perfume Organic for women and men,0,130,36,120,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37,37,62,37,50,75,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A Perfume Organic,Perfumed Wine - Rosé A Perfume Organic for women and men,82,0,0,68,0,0,130,0,36,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,40,80,60,60,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A Perfume Organic,Urban Organic A Perfume Organic for women and men,67,0,0,0,130,0,0,119,0,0,0,69,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,33,44,66,77,55,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A Perfume Organic,White Magik A Perfume Organic for women and men,0,0,62,0,0,0,0,0,0,82,0,61,0,0,118,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,60,80,80,80,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A Wing & A Prayer Perfumes,Big Sur A Wing & A Prayer Perfumes for women and men,58,0,0,0,0,80,73,58,90,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A Wing & A Prayer Perfumes,Carmel A Wing & A Prayer Perfumes for women and men,106,0,0,0,0,0,0,57,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A Wing & A Prayer Perfumes,Filoli Rose A Wing & A Prayer Perfumes for women,0,0,0,0,7,118,0,0,0,0,130,0,0,0,0,118,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1,100,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,A Wing & A Prayer Perfumes,Haight & Ashbury A Wing & A Prayer Perfumes for women and men,61,118,0,61,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,50,1,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
